,,DESCENDENCIA EJEMPLAR,,,,,,,
,REGISTRO:,193844,,,,,,,
,NOMBRE:,ONIX (FC),,,,,,,
REGISTRO,NOMBRE,FECHA_NTO,COLOR,SEXO,MICROCHIP,GENO,ANDAR,PADRE/MADRE,
REGISTRO0,NOMBRE,FECHA_NTO,COLOR,SEXO,MICROCHIP,GENO,ANDAR,PADRE/MADRE0
1134470,BRUNELLO DE LA VIRGINIA,08/02/2017,CASTAÑO,MACHO,AVID*601*597*378,GD,P3,1761160
1135390,APOLO DE VILLA PARAISO,03/04/2016,CASTAÑO,MACHO,AVID*601*583*839,GD,P1,1120690
1135790,PANDORA DE VILLA MARGARITA,06/01/2018,CASTAÑO,HEMBRA,AVID*601*594*789,GD,P3,3039380
1136090,JOYA DE ARROYUELOS,12/09/2018,CASTAÑO,HEMBRA,AVID*603*356*522,GD,P3,1940020
1136200,MARAVILLA DE LA GLORIA,25/03/2019,CASTAÑO,HEMBRA,978101082449752,GD,P3,1120140
1136530,SECRETO DE VILLA PARAISO,07/03/2016,CASTAÑO,MACHO,AVID*601*597*347,GD,P2,1116030
1271860,KASANDRA DE VILLA GABRIELA,16/09/2009,CASTAÑO,HEMBRA,AVID*043*601*524,GD,P3,1734390
1271870,CASTAÑUELA DE SANTA MARIA,15/10/2008,CASTAÑO,HEMBRA,AVID*043*607*625,GD,P3,1734390
1277190,ALFONSINA DE LA TRINIDAD,07/09/2010,CASTAÑO,HEMBRA,AVID*008*781*307,GD,P3,1263150
1277520,CHANDAN DE LA MILAGROSA,02/10/2012,CASTAÑO,HEMBRA,AVID*077*013*338,GD,P3,1275400
1278110,ALMIRANTE DE MAR DE LEVA,29/07/2012,CASTAÑO,MACHO,AVID*010*029*054,GD,P3,1820190
1278140,THYFON DE VILLA LUNA,20/05/2011,CASTAÑO,MACHO,AVID*071*827*634,GD,P3,1273420
1278150,BELLANIX DE LA QUINTA REAL,08/12/2011,CASTAÑO,HEMBRA,AVID*013*122*573,GD,P3,1674780
1278190,MAXIMO DE LOS ARBOLES,20/09/2012,CASTAÑO,MACHO,AVID*840*045*108,GD,P3,1321750
1278490,AMARANTA DE AGUA BUENA,11/02/2012,ZAINO,HEMBRA,AVID*079*778*371,GD,P3,2549640
1278510,ANUBIS DE LOS ROSALES,22/07/2012,CASTAÑO,HEMBRA,AVID*009*771*081,GD,P3,2777790
1279830,PIRINOLA DE VILLA CIELO,30/06/2012,CASTAÑO,HEMBRA,AVID*010*073*268,GD,P3,1267420
1279930,SULTAN DE VILLA CIELO,13/03/2012,CASTAÑO,MACHO,AVID*010*034*795,GD,P3,1267320
1280140,DANESA DE LOS ROSALES,15/02/2013,CASTAÑO,HEMBRA,AVID*010*066*630,GD,P3,2614680
1280150,PIMPINELA DE SAN JOSE,30/06/2013,CASTAÑO,HEMBRA,AVID*010*066*529,GD,P3,2264140
1280440,CACIQUE DE LA MILAGROSA,22/07/2014,CASTAÑO,MACHO,AVID*020*285*618,GD,P3,1671130
1280550,TRAVIATA DE DON FELIPE,05/05/2013,CASTAÑO,HEMBRA,AVID*010*049*549,GD,P3,2332360
1280560,EXPLOSIVA DE LA MARIA,01/08/2013,CASTAÑO,HEMBRA,AVID*020*092*059,GD,P3,2274180
1281120,LINDA DE LOS EUCALIPTOS,25/12/2014,CASTAÑO,HEMBRA,AVID*040*829*527,GD,P3,1274980
1281180,SELECTA DEL DESVELO,27/01/2015,ZAINO,HEMBRA,AVID*040*096*771,GD,P3,2068680
1281190,RAMSES DE LA Y,22/04/2014,CASTAÑO,MACHO,AVID*039*603*628,GD,P3,1267020
1281240,EMISARIO DE SAN NICOLAS,24/12/2014,CASTAÑO,MACHO,AVID*040*008*819,GD,P3,1276810
1281250,ANFITRION DE SAN NICOLAS,20/02/2015,CASTAÑO,MACHO,AVID*040*036*382,GD,P3,488340
1281270,CASANDRA DEL LUCERO,29/09/2014,CASTAÑO,HEMBRA,AVID*039*795*854,GD,P3,2208710
1281340,IDOLO DE SANTA MARIA,23/06/2010,CASTAÑO,MACHO,AVID*076*618*627,GD,P3,2222420
1281480,TROYANO DE LA OCULTA,14/01/2014,CASTAÑO,MACHO,AVID*041*275*284,GD,P3,2099460
REGISTRO0,NOMBRE,FECHA_NTO,COLOR,SEXO,MICROCHIP,GENO,ANDAR,PADRE/MADRE0
1281510,CONSENTIDA DE LA SAMARIA,28/11/2013,CASTAÑO,HEMBRA,AVID*041*297*114,GD,P3,2777580
1281860,MARAQUEÑO DEL 05,17/06/2014,MORO,MACHO,AVID*040*009*047,GD,P3,2286270
1282070,MACANA DE LOMITA NUEVA,31/12/2013,CASTAÑO,HEMBRA,AVID*061*116*839,GD,P3,1270950
1282120,DIAMANTINA DEL PALMAR,11/02/2015,CASTAÑO,HEMBRA,AVID*060*307*771,GD,P3,2780770
1282190,BETO JUNIOR DE J.H.,20/12/2014,CASTAÑO,MACHO,AVID*060*302*809,GD,P3,1278090
1282320,KAPUY DE SANTA RITA,05/04/2015,CASTAÑO,HEMBRA,AVID*836*612*852,GD,P3,1674690
